ArrayAmount,Time(microseconds)
quickSort
500,53
600,68
700,82
800,96
900,110
1000,117
1100,127
1200,177
1300,176
1400,179
1500,180
1600,201
1700,218
1800,239
1900,255
2000,272
2100,270
2200,310
2300,339
2400,335
2500,330
2600,354
2700,372
2800,389
2900,403
3000,423
3100,444
3200,475
3300,472
3400,482
3500,493
3600,538
3700,534
3800,543
3900,588
4000,573
4100,615
4200,610
4300,688
4400,658
4500,645
4600,705
4700,670
4800,751
4900,772
5000,763
5100,794
5200,787
5300,856
5400,872
5500,865
5600,865
5700,869
5800,912
5900,916
6000,918
6100,954
6200,973
6300,950
6400,1006
6500,1065
6600,1171
6700,1082
6800,1081
6900,1079
7000,1127
7100,1092
7200,1088
7300,1185
7400,1191
7500,1195
7600,1292
7700,1254
7800,1287
7900,1325
8000,1273
8100,1281
8200,1309
8300,1382
8400,1420
8500,1346
8600,1318
8700,1442
8800,1437
8900,1407
9000,1440
9100,1478
9200,1513
9300,1515
9400,1515
9500,1716
9600,1627
9700,1601
9800,1593
9900,1566
10000,1656
quickSort + heapSort + insertionSort
500,45
600,60
700,71
800,86
900,96
1000,104
1100,110
1200,131
1300,152
1400,160
1500,160
1600,180
1700,197
1800,215
1900,230
2000,233
2100,243
2200,276
2300,308
2400,303
2500,296
2600,318
2700,333
2800,352
2900,361
3000,384
3100,404
3200,436
3300,430
3400,435
3500,447
3600,491
3700,487
3800,493
3900,531
4000,520
4100,559
4200,551
4300,631
4400,597
4500,584
4600,640
4700,605
4800,684
4900,707
5000,697
5100,720
5200,716
5300,784
5400,803
5500,788
5600,787
5700,789
5800,832
5900,832
6000,838
6100,868
6200,906
6300,864
6400,917
6500,977
6600,1080
6700,990
6800,989
6900,978
7000,1018
7100,992
7200,983
7300,1085
7400,1089
7500,1089
7600,1184
7700,1125
7800,1173
7900,1214
8000,1160
8100,1165
8200,1195
8300,1243
8400,1250
8500,1219
8600,1192
8700,1320
8800,1309
8900,1278
9000,1308
9100,1288
9200,1376
9300,1368
9400,1361
9500,1567
9600,1466
9700,1439
9800,1427
9900,1389
10000,1459


