ArrayAmount,Time(microseconds)
mergeSort
500,189
600,224
700,259
800,316
900,340
1000,370
1100,412
1200,451
1300,489
1400,522
1500,575
1600,612
1700,652
1800,700
1900,719
2000,770
2100,797
2200,839
2300,875
2400,919
2500,960
2600,996
2700,1043
2800,1078
2900,1122
3000,1163
3100,1202
3200,1242
3300,1292
3400,1335
3500,1363
3600,1401
3700,1435
3800,1472
3900,1516
4000,1553
4100,1603
4200,1640
4300,1675
4400,1724
4500,1767
4600,1794
4700,1842
4800,1890
4900,1938
5000,1966
5100,2014
5200,2027
5300,2120
5400,2123
5500,2159
5600,2181
5700,2241
5800,2312
5900,2313
6000,2361
6100,2396
6200,2480
6300,2482
6400,2525
6500,2574
6600,2623
6700,2669
6800,2754
6900,2802
7000,2840
7100,2876
7200,2875
7300,2925
7400,2952
7500,2990
7600,3027
7700,3061
7800,3096
7900,3139
8000,3237
8100,3216
8200,3228
8300,3294
8400,3340
8500,3384
8600,3423
8700,3452
8800,3505
8900,3545
9000,3584
9100,3628
9200,3657
9300,3705
9400,3765
9500,3809
9600,3856
9700,3888
9800,3931
9900,3978
10000,4009
mergeSort + insertionSort
500,46
600,68
700,76
800,85
900,93
1000,104
1100,138
1200,149
1300,159
1400,164
1500,178
1600,186
1700,196
1800,205
1900,217
2000,225
2100,257
2200,301
2300,305
2400,319
2500,335
2600,341
2700,352
2800,362
2900,377
3000,387
3100,397
3200,403
3300,417
3400,432
3500,437
3600,456
3700,459
3800,469
3900,481
4000,491
4100,509
4200,564
4300,608
4400,645
4500,664
4600,659
4700,674
4800,693
4900,707
5000,721
5100,732
5200,747
5300,755
5400,767
5500,780
5600,779
5700,798
5800,811
5900,823
6000,835
6100,843
6200,857
6300,874
6400,877
6500,890
6600,903
6700,918
6800,927
6900,938
7000,951
7100,967
7200,970
7300,986
7400,994
7500,1011
7600,1020
7700,1024
7800,1031
7900,1045
8000,1078
8100,1073
8200,1079
8300,1144
8400,1203
8500,1256
8600,1332
8700,1352
8800,1377
8900,1387
9000,1401
9100,1407
9200,1413
9300,1425
9400,1446
9500,1463
9600,1473
9700,1477
9800,1499
9900,1518
10000,1522

